geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [6.08333, 50.775]}",Aachen,Valid,,Fell,1880-01-01T00:00:00.000,L5,50.775000,6.083330,1,21,
"{'type': 'Point', 'coordinates': [10.23333, 56.18333]}",Aarhus,Valid,,Fell,1951-01-01T00:00:00.000,H6,56.183330,10.233330,2,720,
"{'type': 'Point', 'coordinates': [-113, 54.21667]}",Abee,Valid,,Fell,1952-01-01T00:00:00.000,EH4,54.216670,-113.000000,6,107000,
"{'type': 'Point', 'coordinates': [-99.9, 16.88333]}",Acapulco,Valid,,Fell,1976-01-01T00:00:00.000,Acapulcoite,16.883330,-99.900000,10,1914,
"{'type': 'Point', 'coordinates': [-64.95, -33.16667]}",Achiras,Valid,,Fell,1902-01-01T00:00:00.000,L6,-33.166670,-64.950000,370,780,
"{'type': 'Point', 'coordinates': [71.8, 32.1]}",Adhi Kot,Valid,,Fell,1919-01-01T00:00:00.000,EH4,32.100000,71.800000,379,4239,
"{'type': 'Point', 'coordinates': [95.16667, 44.83333]}",Adzhi-Bogdo (stone),Valid,,Fell,1949-01-01T00:00:00.000,LL3-6,44.833330,95.166670,390,910,
"{'type': 'Point', 'coordinates': [0.61667, 44.21667]}",Agen,Valid,,Fell,1814-01-01T00:00:00.000,H5,44.216670,0.616670,392,30000,
"{'type': 'Point', 'coordinates': [-65.23333, -31.6]}",Aguada,Valid,,Fell,1930-01-01T00:00:00.000,L6,-31.600000,-65.233330,398,1620,
"{'type': 'Point', 'coordinates': [-64.55, -30.86667]}",Aguila Blanca,Valid,,Fell,1920-01-01T00:00:00.000,L,-30.866670,-64.550000,417,1440,
"{'type': 'Point', 'coordinates': [-9.57028, 16.39806]}",Aioun el Atrouss,Valid,,Fell,1974-01-01T00:00:00.000,Diogenite-pm,16.398060,-9.570280,423,1000,
"{'type': 'Point', 'coordinates': [8.38333, 19.08333]}",Aïr,Valid,,Fell,1925-01-01T00:00:00.000,L6,19.083330,8.383330,424,24000,
"{'type': 'Point', 'coordinates': [2.33333, 50.66667]}",Aire-sur-la-Lys,Valid,,Fell,1769-01-01T00:00:00.000,Unknown,50.666670,2.333330,425,,
"{'type': 'Point', 'coordinates': [35.05, 29.51667]}",Akaba,Valid,,Fell,1949-01-01T00:00:00.000,L6,29.516670,35.050000,426,779,
"{'type': 'Point', 'coordinates': [77.95, 29.71667]}",Akbarpur,Valid,,Fell,1838-01-01T00:00:00.000,H4,29.716670,77.950000,427,1800,
"{'type': 'Point', 'coordinates': [8.43333, 8.91667]}",Akwanga,Valid,,Fell,1959-01-01T00:00:00.000,H,8.916670,8.433330,432,3000,
"{'type': 'Point', 'coordinates': [42.81667, 39.91667]}",Akyumak,Valid,,Fell,1981-01-01T00:00:00.000,"Iron, IVA",39.916670,42.816670,433,50000,
"{'type': 'Point', 'coordinates': [39.51667, 24.41667]}",Al Rais,Valid,,Fell,1957-01-01T00:00:00.000,CR2-an,24.416670,39.516670,446,160,
"{'type': 'Point', 'coordinates': [28.96, 13.66033]}",Al Zarnkh,Valid,,Fell,2001-01-01T00:00:00.000,LL5,13.660330,28.960000,447,700,
"{'type': 'Point', 'coordinates': [4.08333, 44.11667]}",Alais,Valid,,Fell,1806-01-01T00:00:00.000,CI1,44.116670,4.083330,448,6000,
"{'type': 'Point', 'coordinates': [11.01667, 44.65]}",Albareto,Valid,,Fell,1766-01-01T00:00:00.000,L/LL4,44.650000,11.016670,453,2000,
"{'type': 'Point', 'coordinates': [22.66667, 2]}",Alberta,Valid,,Fell,1949-01-01T00:00:00.000,L,2.000000,22.666670,454,625,
"{'type': 'Point', 'coordinates': [6.01533, 45.82133]}",Alby sur Chéran,Valid,,Fell,2002-01-01T00:00:00.000,Eucrite-mmict,45.821330,6.015330,458,252,
"{'type': 'Point', 'coordinates': [-1.78333, 51.78333]}",Aldsworth,Valid,,Fell,1835-01-01T00:00:00.000,LL5,51.783330,-1.783330,461,700,
"{'type': 'Point', 'coordinates': [37.13333, 36.23333]}",Aleppo,Valid,,Fell,1873-01-01T00:00:00.000,L6,36.233330,37.133330,462,3200,
"{'type': 'Point', 'coordinates': [8.75, 44.88333]}",Alessandria,Valid,,Fell,1860-01-01T00:00:00.000,H5,44.883330,8.750000,463,908,
"{'type': 'Point', 'coordinates': [31.81667, 50.95]}",Alexandrovsky,Valid,,Fell,1900-01-01T00:00:00.000,H4,50.950000,31.816670,465,9251,
"{'type': 'Point', 'coordinates': [10.15, 45.26667]}",Alfianello,Valid,,Fell,1883-01-01T00:00:00.000,L6,45.266670,10.150000,466,228000,
"{'type': 'Point', 'coordinates': [-85.88333, 42.53333]}",Allegan,Valid,429,Fell,1899-01-01T00:00:00.000,H5,42.533330,-85.883330,2276,32000,50
"{'type': 'Point', 'coordinates': [-105.31667, 26.96667]}",Allende,Valid,,Fell,1969-01-01T00:00:00.000,CV3,26.966670,-105.316670,2278,2000000,
"{'type': 'Point', 'coordinates': [32.41275, 20.74575]}",Almahata Sitta,Valid,,Fell,2008-01-01T00:00:00.000,Ureilite-an,20.745750,32.412750,48915,3950,
